"type","value","source"
"domain","online365-office.com","Mandiant"
"domain","onlinecloud365.live","Mandiant"
"domain","openprojectgate.com","Mandiant"
"domain","opiloans.com","Mandiant"
"domain","osixmals.com","Mandiant"
"domain","outviewmachine.com","Mandiant"
"domain","pageaddpath.net","Mandiant"
"domain","pandawithrainbow.com","Mandiant"
"domain","paneindestination.com","Mandiant"
"domain","panelitsolution.com","Mandiant"
"domain","panelittechweb.com","Mandiant"
"domain","partizan-cryptobox.com","Mandiant"
"domain","partizancryptobox.com","Mandiant"
"domain","passongoing.com","Mandiant"
"domain","paternenabler.com","Mandiant"
"domain","patriotzip.com","Mandiant"
"domain","pdf-cache.online","Mandiant"
"domain","pdf-forwarding.online","Mandiant"
"domain","pdfdirectglobal.com","Mandiant"
"domain","pdfsecxcloud.com","Mandiant"
"domain","pdfsecxcloudroute.com","Mandiant"
"domain","pilotrepository.com","Mandiant"
"domain","pilotsheikh.com","Mandiant"
"domain","pipilicollege.org","Mandiant"
"domain","piuabreu.net","Mandiant"
"domain","play.docs-properties.com","Mandiant"
"domain","poortruncselector.com","Mandiant"
"domain","portal.cloud-us.online","Mandiant"
"domain","portarrwalk.com","Mandiant"
"domain","poscheckdatacenter.com","Mandiant"
"domain","postpackfull.com","Mandiant"
"domain","postrequestin.com","Mandiant"
"domain","prescottapwu.com","Mandiant"
"domain","preview-docs.com","Mandiant"
"domain","prismhavenphotography.com","Mandiant"
"domain","prodefendme.com","Mandiant"
"domain","proffitsolution.com","Mandiant"
"domain","proffsolution.com","Mandiant"
"domain","prokeeperit.com","Mandiant"
"domain","prolongcontent.org","Mandiant"
"domain","proscreenit.com","Mandiant"
"domain","prostrokes.net","Mandiant"
"domain","protection-checklinks.xyz","Mandiant"
"domain","protection-office.live","Mandiant"
"domain","protectionoffice.tech","Mandiant"
"domain","protectitbase.com","Mandiant"
"domain","protectordocumentcenter.com","Mandiant"
"domain","protecttechproof.com","Mandiant"
"domain","proto-dns.com","Mandiant"
"domain","proton-decrypt.com","Mandiant"
"domain","proton-pdf.online","Mandiant"
"domain","proton-reader.com","Mandiant"
"domain","protondecrypt.com","Mandiant"
"domain","provideexplorer.com","Mandiant"
"domain","psybehavconf.com","Mandiant"
"domain","putgetquery.com","Mandiant"
"domain","queryselftype.org","Mandiant"
"domain","readdatainform.com","Mandiant"
"domain","readinfodata.com","Mandiant"
"domain","realeasyconfiguregateway.com","Mandiant"
"domain","realitsolutionprimary.com","Mandiant"
"domain","realpowerstorage.com","Mandiant"
"domain","redir-document.com","Mandiant"
"domain","redir-selector.com","Mandiant"
"domain","reinelogistics.net","Mandiant"
"domain","relogin-dashboard.online","Mandiant"
"domain","remcemson.com","Mandiant"
"domain","requestview.ru","Mandiant"
"domain","response-filter.com","Mandiant"
"domain","response-redir.com","Mandiant"
"domain","responseview.ru","Mandiant"
"domain","restauracjadomek.com","Mandiant"
"domain","returnselfdata.net","Mandiant"
"domain","reviewopenfile.com","Mandiant"
"domain","ritaliafunding.net","Mandiant"
"domain","roboticseng.org","Mandiant"
"domain","rootgatestorage.com","Mandiant"
"domain","rootgatewayshome.com","Mandiant"
"domain","rootgatewaystorage.com","Mandiant"
"domain","rootinformationgateway.com","Mandiant"
"domain","runmoduleprof.org","Mandiant"
"domain","rvsaurus.com","Mandiant"
"domain","s29.s29vom.com","Mandiant"
"domain","s29vom.com","Mandiant"
"domain","safedocitsolution.com","Mandiant"
"domain","safedocumentgatesolution.com","Mandiant"
"domain","safelinks-protect.live","Mandiant"
"domain","safetyagencyservice.com","Mandiant"
"domain","safetydocsgateway.com","Mandiant"
"domain","sahhanexport.com","Mandiant"
"domain","sangrail-ltd.com","Mandiant"
"domain","sangrail-share.com","Mandiant"
"domain","scandefinform.com","Mandiant"
"domain","scrollselfsolution.org","Mandiant"
"domain","searchdatafile.com","Mandiant"
"domain","secbrowsingate.com","Mandiant"
"domain","secbrowsingsystems.com","Mandiant"
"domain","seclawdoorway.com","Mandiant"
"domain","sectorsprot.com","Mandiant"
"domain","securebrowssolution.com","Mandiant"
"domain","secureglobaltele.com","Mandiant"
"domain","securepapernow.com","Mandiant"
"domain","sed-mvd.ru","Mandiant"
"domain","selfargsview.org","Mandiant"
"domain","seltinger.com","Mandiant"
"domain","sendhostargs.com","Mandiant"
"domain","sendmessagedomain.org","Mandiant"
